left_context,delimiter,right_context,label
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,"159, 3",0
"159, 3",.,"303, 3",0
"303, 3",.,304 (2,0
(2015),.,"


REA",1
"ION

I",.,  Duti,1
nefits,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 51,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"102, 3",0
"102, 3",.,156(a),0
"(a), 3",.,"159, 3",0
"159, 3",.,326(a),0
(2015),.,  VA i,1
 claim,;, (2) t,0
rovide,;, and (,0
rovide,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
103(a),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,159(b),0
159(b),;, Quart,0
ccio v,., Princ,0
16 Vet,., App. ,0
t. App,., 183 (,0
(2002),.,"  

VA",1
ements,.,  In a,1
r PTSD,.,  The ,1
e case,.,  Acco,1
notify,.,"

Next",1
 claim,.,  This,1
essary,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
 5103A,;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,159.  ,0
 3.159,.,"  


I",1
review,.,  Alth,1
 found,.,  Seve,1
y 1982,.,  The ,1
 issue,.,  Furt,1
fficer,;, confi,0
essary,.,"

This",1
y 2014,.,  The ,1
pleted,.,  A VA,1
ionale,.,  See ,1
ingo v,., Shins,0
26 Vet,., App. ,0
t. App,.," 97, 1",0
(2012),.,  Adeq,1
eteran,;, unfor,0
s fact,.,  The ,1
futile,.,  Gagn,1
agne v,., McDon,0
27 Vet,., App. ,0
t. App,.," 397, ",0
todian,.,""").  T",0
"ian."")",.,  The ,1
review,.,  The ,1
ctives,.,  See ,1
gall v,.," West,",0
11 Vet,., App. ,0
t. App,., 268 (,0
(1998),;, D'Ari,0
ries v,., Peake,0
22 Vet,., App. ,0
t. App,.," 97, 1",0
(2008),.,"

In a",1
earing,.,  At t,1
idence,.,  The ,1
isfied,.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,103(c),0
(2015),;, Bryan,0
yant v,., Shins,0
23 Vet,., App. ,0
t. App,.," 488, ",0
(2010),.,"

In s",1
 issue,.,  See ,1
D Corp,., v. Ly,0
orp. v,., Lydal,0
"l, Inc",.,", 159 ",0
 159 F,.,3d 534,0
9 (Fed,., Cir. ,0
d. Cir,., 1998),0
 1998),;, Mayfi,0
ield v,., Nicho,0
19 Vet,., App. ,0
t. App,., 103 (,0
(2005),.,"

II. ",1
").

II",.,  Anal,1
 Guard,.,  In h,1
h of R,.,", her ",0
aining,.,  In a,1
rolina,.,"  

At",1
 leave,.,  DRO ,1
pt 4-5,.,  She ,1
 since,.,"""  Id.",0
".""  Id",., at 4-,0
at 4-5,.,  She ,1
e 1985,.,  Id. ,1
5.  Id,., at 6.,0
. at 6,.,  She ,1
uicide,.,  Id. ,1
e.  Id,., at 9.,0
. at 9,.,"

At t",1
er son,.,  Boar,1
pt 3-4,.,  She ,1
ining],.,"""  Id.",0
".""  Id",., at 5.,0
. at 5,.,"

Gene",1
ervice,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 113,0
§ 1131,;," 
38 C",0
" 
38 C",.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(a),0
303(a),.,  Serv,1
iteria,:,  (1) ,0
bility,;, (2) i,0
injury,;, and (,0
ervice,.,"  
She",1
dden v,., Princ,0
 381 F,.,3d 116,0
7 (Fed,., Cir. ,0
d. Cir,., 2004),0
 2004),.,"

Acti",1
f duty,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 101,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.6,0
R. § 3,.,"6(a), ",0
(2015),.,  ACDU,1
 state,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 10,0
01(22),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.6,0
R. § 3,.,6(c)(3,0
(c)(3),.,  Thus,1
CDUTRA,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 10,0
"), 106",.,"

Ther",1
n 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
n 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303.  ,0
 3.303,.,  See ,1
rzio v,., Shins,0
 602 F,.,3d 134,0
7 (Fed,., Cir. ,0
d. Cir,., 2010),0
 2010),.,  Esta,1
f PTSD,;, (2) c,0
curred,;, and (,0
ressor,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
304(f),.,  A me,1
M-IV]),.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 4,0
 C.F.R,., § 4.1,0
R. § 4,.,125 (2,0
(2015),.,"

What",1
ressor,.,  If t,1
ressor,.,  VA h,1
tality,.,  See ,1
 1999),.,  For ,1
ection,.,"  ""Cre",1
ources,.,  More,1
reau v,., Brown,0
 9 Vet,., App. ,0
t. App,., 389 (,0
(1996),.,"

This",1
o 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304 ef,0
", 2010",.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
(f)(3),.,  That,1
 alone,.,  In t,1
tivity,.,  This,1
t case,.,"  

Th",1
ranted,.,  The ,1
ervice,.,"

Apri",1
normal,.,"

The ",1
ession,.,  In S,1
n 1986,.,  The ,1
arents,.,  She ,1
ession,.,  She ,1
n 1987,.,  In a,1
father,.,  She ,1
 daily,.,  The ,1
ervice,.,  She ,1
ession,.,"

The ",1
y 2005,.,  She ,1
oblems,.,  She ,1
 nurse,.,  She ,1
vement,.,  In h,1
oblems,.,  At a,1
age 13,.,  She ,1
sorder,.,"

At a",1
my son,.,  This,1
I'm in,.,"""  At ",0
escent,.,  She ,1
itated,.,  She ,1
ession,.,  She ,1
s life,.,"""  The",0
ervice,.,  She ,1
sorder,.,"

Apri",1
d PTSD,.,  An A,1
embers,.,"""  In ",0
oblems,.,  Vari,1
er son,.,  She ,1
vement,.,  Cont,1
er son,.,"  


I",1
 Guard,.,  At a,1
age 12,.,  When,1
t care,.,  She ,1
duties,.,  The ,1
d mood,.,  The ,1
ssment,.,"""  She",0
wn son,.,  An a,1
ssment,.,"

The ",1
s file,.,  The ,1
turely,.,  She ,1
aining,.,  She ,1
uicide,.,  She ,1
r PTSD,.,  The ,1
ession,.,  The ,1
murder,.,  The ,1
murder,.,"""

The",0
"son, R",.,", whic",0
 fever,.,  More,1
t care,.,"

The ",1
ervice,.," 

The",1
sorder,.,  She ,1
rement,.,"

The ",1
ervice,.,  The ,1
y 1982,.,  The ,1
s time,.,  Rath,1
 Guard,.,"

The ",1
CDUTRA,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 10,0
"), 106",.,  Neve,1
 son R,.,"

The ",1
uicide,.,  Jand,1
reau v,., Nicho,0
 492 F,.,3d 137,0
7 (Fed,., Cir. ,0
d. Cir,., 2007),0
 2007),;, Bucha,0
anan v,., Nicho,0
 451 F,.,3d 133,0
6 (Fed,., Cir. ,0
d. Cir,., 2006),0
ecord),.,  Lay ,1
person,.,  See ,1
dson v,., Shins,0
 581 F,.,3d 131,0
6 (Fed,., Cir. ,0
d. Cir,., 2009),0
 2009),;, Kahan,0
hana v,., Shins,0
24 Vet,., App. ,0
t. App,.," 428, ",0
"433, n",., 4 (20,0
(2011),.,  The ,1
petent,.,  Comp,1
mons v,., Shins,0
23 Vet,., App. ,0
t. App,.," 1, 6 ",0
 492 F,.,3d at ,0
ulder),;, Falzo,0
zone v,., Brown,0
 8 Vet,., App. ,0
t. App,.," 398, ",0
 feet),.,  Diag,1
matter,;, deter,0
aining,.,  The ,1
petent,.,"

As t",1
ervice,.,  The ,1
scence,.,  Her ,1
ervice,.,  The ,1
murder,.,  As t,1
weight,.,  See ,1
guez v,., Peake,0
22 Vet,., App. ,0
t. App,.," 295, ",0
(2008),.,  Furt,1
record,.,"

Whil",1
ention,.,  The ,1
 son R,., do sh,0
 fever,.,  The ,1
nation,.,  The ,1
racter,.,  See ,1
luza v,., Brown,0
 7 Vet,., App. ,0
t. App,.," 498, ",0
", 78 F",.,3d 604,0
4 (Fed,., Cir. ,0
d. Cir,., 1996),0
 1996),.,  Here,1
llness,.,  The ,1
ny way,.,"

The ",1
ervice,.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
(f)(5),.,  The ,1
ssment,.,"""  The",0
f 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
s case,.,  This,1
ssment,.,"""

Fin",0
CDUTRA,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"307, 3",0
"307, 3",.,309 (2,0
(2015),;, Smith,0
mith v,., Shins,0
24 Vet,., App. ,0
t. App,.," 40, 4",0
(2010),.,"

In s",1
ervice,.,  The ,1
nxiety,.,  In r,1
ctrine,.,  Howe,1
icable,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
107(b),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,"102.

",0
 3.102,.,"


ORD",1
denied,.,"




_",1
"____
K",., A. KE,0
"_
K. A",., KENNE,0
ion Nr,:, 15544,0
n Date,:, 12/31,0
e Date,:, 01/07,0
KET NO,.,  05-2,0
(PTSD),.,"


REP",1
ted by,:,	Paral,0
"a, Inc",.,"


ATT",1
"ARD

J",., Acost,0
t 1969,.,  She ,1
serves,.,"

This",1
r PTSD,.,  In C,1
mons v,., Shins,0
23 Vet,., App. ,0
t. App,., 1 (20,0
 claim,.,  In l,1
e page,.,"

In M",1
gton D,.,C.  A ,0
on D.C,.,  A tr,1
s file,.,  The ,1
t 2013,.,"

The ",1
tronic,.,"  


F",1
"ACT

1",.,  No a,1
ervice,.,"

2.  ",1
"ce.

2",.,  The ,1
ervice,.,"

CONC",1
esumed,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 10,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,"303, 3",0
"303, 3",.,"04, 3.",0
".04, 3",.,"307, 3",0
"307, 3",.,309 (2,0
(2015),.,"


REA",1
ervice,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
", 1131",;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303.  ,0
 3.303,.,  Evid,1
tioned,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(b),0
303(b),.,"  

So",1
ervice,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
", 1112",;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,307(a),0
"(3), 3",.,309(a),0
hoses),.,  Proo,1
lation,.,  Walk,1
lker v,., Shins,0
 708 F,.,3d 133,0
1 (Fed,., Cir. ,0
d. Cir,., 2013),0
 2013),.,"

Regu",1
ervice,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(d),0
303(d),.,"

The ",1
f duty,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 101,0
01(24),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"1(d), ",0
"(d), 3",.,6(a). ,0
3.6(a),.,"  ""Act",1
rction,.,  Id. ,1
n.  Id,.,  A st,1
rposes,.,  VAOP,1
 2001),.,"

To e",1
bility,.,  Dalt,1
lton v,., Nicho,0
21 Vet,., App. ,0
t. App,.," 23, 3",0
(2007),.,"  

In",1
quires,:, (1) m,0
h 38 C,.,F.R. §,0
38 C.F,.,R. § 4,0
 C.F.R,., § 4.1,0
R. § 4,.,125(a),0
(a) (i,.,"e., DS",0
) (i.e,.,", DSM-",0
tions),;, (2) c,0
curred,;, and (,0
ressor,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
304(f),.,"  

Th",1
ontend,.,  Sinc,1
ressor,.,  Inst,1
ements,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
304(f),;, Stone,0
tone v,., Nicho,0
 480 F,.,3d 111,0
1 (Fed,., Cir. ,0
d. Cir,., 2007),0
 2007),.,"  

Co",1
quired,.,  Inst,1
posure,.,  Pent,1
cost v,., Princ,0
16 Vet,., App. ,0
t. App,.," 124, ",0
ozzi v,., Brown,0
10 Vet,., App. ,0
t. App,., 307 (,0
1997)),.,"

If a",1
cident,.,  Exam,1
ted to,:, recor,0
icians,;, pregn,0
seases,;, and s,0
clergy,.,  Exam,1
ted to,:, a req,0
gnment,;, deter,0
rmance,;, subst,0
 abuse,;, episo,0
 cause,;, or un,0
hanges,.,"  

Th",1
ressor,.,  An a,1
record,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
(f)(5),.,"  

Wh",1
 occur,;, Buczy,0
nski v,., Shins,0
24 Vet,., App. ,0
t. App,.," 221, ",0
(2011),;, Kahan,0
hana v,., Shins,0
24 Vet,., App. ,0
t. App,.," 428, ",0
"nce, J",.,", conc",0
"rded"")",.,"

The ",1
f 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
bility,.,  Afte,1
ressor,.,  More,1
 9 Vet,., App. ,0
t. App,., at 39,0
at 396,.,  That,1
r PTSD,.,  Wils,1
lson v,., Derwi,0
 2 Vet,., App. ,0
t. App,.," 614, ",0
(1992),.," 
When",1
aimant,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
107(b),;, see a,0
bert v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 49, 5",0
(1990),.,"  

Th",1
s file,.,  Ther,1
cussed,.,  Rath,1
 claim,.,  See ,1
ales v,.," West,",0
 218 F,.,3d 137,0
1 (Fed,., Cir. ,0
d. Cir,., 2000),0
 2000),;, Timbe,0
lake v,., Gober,0
14 Vet,., App. ,0
t. App,.," 122, ",0
(2000),.,"

Fact",1
 files,.,  Unfo,1
eteran,.,  Many,1
egible,.,  The ,1
 years,.,  Some,1
egible,.,"  

Th",1
report,.,  Ther,1
seling,.,  Furt,1
k logs,.,"  

Th",1
anding,.,  The ,1
vision,.,  She ,1
f help,.,  Thes,1
ressor,.,"  

In",1
nd C-5,.,  Priv,1
e hand,.,  The ,1
y 1979,.,  No c,1
ranted,.,  The ,1
mplete,;, only ,0
tained,.,  Howe,1
 claim,.,  The ,1
ration,.,"

A Ju",1
titude,.,  She ,1
truism,.,  She ,1
arines,.,  She ,1
Marine,.,  The ,1
 (NCO),.,"  

An",1
ng NCO,.,  She ,1
usiasm,.,  She ,1
 grade,.,  Anot,1
rogram,.,  She ,1
others,.,  She ,1
inates,.,  The ,1
idence,.,"  

Re",1
Marine,.,"""  She",0
things,.,  An A,1
ligent,.,  She ,1
 tasks,.,  She ,1
manner,.,  She ,1
ly run,.,"  

An",1
ommand,.,  She ,1
served,;, she n,0
 learn,.,"   

A",1
vision,.,  She ,1
wledge,.,  She ,1
n more,.,  The ,1
ficers,.,  She ,1
liable,.,"  

Re",1
y DFAS,.,"  

Th",1
hanges,.,  The ,1
ervice,.,"  

Li",1
h 2000,.,  In S,1
t pain,;, she p,0
orders,.,  She ,1
he job,.,"""  The",0
t pain,.,  The ,1
g PTSD,.,"""  

S",0
hbacks,.,  The ,1
bodies,.,  She ,1
 media,.,  She ,1
iended,.,  She ,1
elp me,!,""" or """,0
e near,!,"""  She",0
er her,.,  The ,1
", mild",.,"  

Sh",1
 plant,.,  She ,1
 drive,.,  She ,1
t work,.,  She ,1
k then,.,  She ,1
ued it,.,  The ,1
ervice,;, to th,0
 claim,.,"  

An",1
ations,.,  The ,1
atures,.,  An A,1
 crash,.,  The ,1
oblems,.,  To t,1
 claim,.,  Howe,1
 value,.,"

A De",1
obbies,.,  She ,1
quency,.,  The ,1
imized,.,"  

A ",1
ighten,.,  She ,1
fornia,.,"  

In",1
atures,.,  She ,1
saying,.,  She ,1
am War,.,"  

A ",1
d mail,.,  She ,1
ervice,.,  To t,1
 claim,.,"  

An",1
", 2001",.,  The ,1
h 2002,.,  Sinc,1
ervice,.,"    

",1
litary,.,"  

A ",1
d PTSD,.,  The ,1
ldhood,.,  She ,1
mother,.,  Her ,1
mother,.,  She ,1
iences,.,  The ,1
litary,.,  Spec,1
 women,.,  She ,1
 taken,.,"  

Sh",1
" ""fine",.,"""  She",0
t camp,.,  The ,1
charge,.,  The ,1
e duty,.,  The ,1
arines,.,  She ,1
ssness,.,  She ,1
erself,.,  This,1
 claim,.,"  

A ",1
uation,.,  She ,1
d food,.,  She ,1
r PTSD,.,  The ,1
reated,.,  An O,1
report,.,"  

At",1
l acts,.,  She ,1
e came,.,  She ,1
etails,.,  She ,1
volved,.,  She ,1
c help,.,"  

Sh",1
killed,.,  She ,1
h site,.,  Eigh,1
killed,.,"  

Th",1
atures,.,  The ,1
arlier,.,  The ,1
mptoms,.,  The ,1
hereof,.,  The ,1
record,.,  The ,1
 claim,.,"  

A ",1
volved,.,  She ,1
ection,.,  She ,1
riving,.,  This,1
ported,.,"  

Ho",1
 notes,.,  She ,1
ressor,.,  The ,1
cident,.,  Thus,1
ccount,.,"  

SS",1
cision,.,  The ,1
bility,.,  This,1
 claim,.,"

An A",1
ressed,.,  This,1
"ers, T",.,", as w",0
"sts, E",.,  The ,1
phoria,.,"  

Th",1
eteran,.,  Alth,1
sation,.,  Her ,1
t time,.,  That,1
bility,.,"

The ",1
ervice,.,  The ,1
mented,.,  Howe,1
volved,.,  That,1
report,.,"  

Th",1
pleted,.,  The ,1
ervice,.,  Howe,1
edible,.,  See ,1
ayno v,., Brown,0
 6 Vet,., App. ,0
t. App,., 465 (,0
"tted"")",.,  The ,1
period,.,"  

In",1
itness,.,  Calu,1
luza v,., Brown,0
 7 Vet,., App. ,0
t. App,., 498 (,0
(1995),.,  The ,1
idence,.,  Buch,1
anan v,., Nicho,0
 451 F,.,3d 133,0
1 (Fed,., Cir. ,0
d. Cir,., 2006),0
 2006),.,"  

Th",1
nefits,;, perso,0
idence,.,  Cart,1
ight v,., Derwi,0
 2 Vet,., App. ,0
t. App,.," 24, 2",0
(1991),.,  The ,1
appeal,.,   Giv,1
nished,.,"    

",1
s file,.,  Revi,1
gnment,.,  Duri,1
ellent,.,"  

Th",1
ervice,.,  The ,1
ssault,.,  Impo,1
review,.,"

The ",1
omoted,.,  Her ,1
mished,.,  It r,1
 ethic,.,  Sign,1
 abuse,.,  The ,1
r PTSD,.,  Nota,1
ietnam,.,  This,1
record,;, the B,0
ations,.,"

The ",1
eening,.,  It w,1
trauma,.,  In c,1
f PTSD,.,  The ,1
essors,.,  As n,1
usions,.,  In c,1
istory,.,"

Also",1
istory,.,  At t,1
ressed,.,  At t,1
ervice,.,"  

Th",1
record,.,  A me,1
curred,.,  Cohe,1
ohen v,., Brown,0
10 Vet,., App. ,0
t. App,.," 128, ",0
(1997),;, Morea,0
 9 Vet,., App. ,0
t. App,.," 389, ",0
395-96,.,"

To t",1
bative,.,  Furt,1
r 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
(f)(4),.,"

As a",1
n time,.,  Howe,1
ervice,.,  As m,1
t time,.,"  

In",1
dleton,.,  This,1
tempts,.,"  

Wh",1
ressor,.,  The ,1
r 1968,;, no he,0
ported,.,"  

Th",1
pieces,.,"""  No ",0
ocated,.,  It i,1
ocated,.,"  

Th",1
 event,.,  In p,1
curate,.,"  

If",1
rtment,.,"  See,",1
"See, e",.,"g., Bu",0
"e, e.g",.,", Bure",0
", http",:,//www.,0
://www,.,baaa-a,0
a-acro,.,com/ (,0
vents),;, Los A,0
""" http",:,//arti,0
ticles,.,latime,0
atimes,.,com/ke,0
ps-u-s,.,  The ,1
cident,.,"  

Th",1
aimant,.,  The ,1
ervice,.,  The ,1
ervice,.,"

Neve",1
 claim,.,  The ,1
hanges,.,  The ,1
ervice,.,"  

Th",1
essors,.,  It w,1
ducted,.,  Alth,1
either,.,  See ,1
e http,:,//www.,0
://www,.,tecom.,0
.tecom,.,usmc.m,0
m.usmc,.,mil/HD,0
y/1991,.,htm an,0
d http,:,//www.,0
://www,.,tecom.,0
.tecom,.,usmc.m,0
m.usmc,.,mil/HD,0
y/1992,.,"htm.

",0
92.htm,.,"

With",1
", 2001",.,  Howe,1
ervice,.,"

In s",1
essors,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304.  ,0
 3.304,.,  The ,1
ervice,.,"  

Be",1
 apply,.,  Gilb,1
 1 Vet,., App. ,0
t. App,.," 49, 5",0
"49, 54",.,  The ,1
denied,.,"  

Du",1
 claim,;, (2) t,0
rovide,;, and (,0
rovide,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
103(a),;, C.F.R,0
(a); C,.,F.R. §,0
); C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,159(b),0
(b)(1),;, Veter,0
", 38 C",.,F.R §§,0
38 C.F,.,R §§ 3,0
R §§ 3,.,"102, 3",0
"102, 3",.,156(a),0
"(a), 3",.,"159, 3",0
"159, 3",.,326(a),0
326(a),.,  Pele,1
rini v,., Princ,0
18 Vet,., App. ,0
t. App,., 112 (,0
(2004),.,"

In t",1
y 2001,.,  That,1
ssault,.,  See ,1
e YR v,.," West,",0
11 Vet,., App. ,0
t. App,.," 393, ",0
(1998),;, Patto,0
tton v,.," West,",0
12 Vet,., App. ,0
t. App,., 272 (,0
(1999),;, M21-1,0
", para",.,5.14d;,0
para.5,.,14d; 3,0
.5.14d,;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
(f)(3),.,"  

Th",1
eteran,.,  The ,1
ervice,.,"  

Th",1
rs ago,.,  Nume,1
 claim,.,  Neit,1
notice,.,  See ,1
seki v,., Sande,0
 129 S,., Ct. 1,0
 S. Ct,., 1696 ,0
(2009),.,  If t,1
espond,.,  Mayf,1
ield v,., Nicho,0
 444 F,.,3d 132,0
(2006),.,  The ,1
en met,.,"  

Th",1
eteran,.,  Spec,1
nation,.,  Also,1
tative,.,"

In c",1
t rule,.,  See ,1
Hare v,., Derwi,0
 1 Vet,., App. ,0
t. App,., 365 (,0
(1991),.,  The ,1
assist,.,"

The ",1
re why,.,  She ,1
 Touro,;, howev,0
 years,.," 

The",1
ilable,.,  In M,1
victim,.,"  

Ad",1
period,.,  In M,1
 the U,.,S. Arm,0
he U.S,., Army ,0
ration,.,  It w,1
cation,.,"  

Th",1
mation,.,  A ve,1
", 1990",;, Febru,0
",-1990",;, and M,0
 1990),.,  The ,1
 dates,.,"  

In",1
eteran,.,  With,1
itless,.,  Ther,1
appeal,.,  A fu,1
quired,.,"  

As",1
idence,.,  The ,1
idence,.,  Thus,1
one so,.,  Any ,1
eteran,.,  Ther,1
merits,.,  Ding,1
tman v,., Nicho,0
19 Vet,., App. ,0
t. App,., 473 (,0
(2006),;, See a,0
D Corp,., V. Ly,0
orp. V,., Lydal,0
"l, Inc",.,", 159 ",0
 159 F,., 3d 53,0
9 (Fed,., Cir. ,0
d. Cir,., 1998),0
 1998),.,"

A re",1
orders,.,  Steg,1
gall v,.," West,",0
11 Vet,., App. ,0
t. App,.," 268, ",0
(1998),.,  In t,1
emands,.," 

Spe",1
cision,.,  That,1
e file,.,  The ,1
ssault,.,  That,1
s send,.,"  

In",1
curred,.,  She ,1
ducted,.,"  

Th",1
ecords,.,  The ,1
Center,.,  The ,1
ources,.,"  

Th",1
mation,.,  Thos,1
 years,.,"  

Th",1
", 1992",.,  The ,1
y DFAS,.,"  

In",1
", 1992",.,  This,1
dleton,.,  The ,1
t date,.,  The ,1
 crash,.,  The ,1
tement,.,  That,1
ocated,.,"

The ",1
emands,.,  Steg,1
gall v,.," West,",0
et App,., 268 (,0
(1998),.," 

The",1
needed,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,103 (2,0
(2015),;, Bryan,0
yant v,., Shins,0
23 Vet,., App. ,0
t. App,.," 488, ",0
(2010),.,  In a,1
emands,.,  If a,1
eteran,.,"  

VA",1
en met,.,"  


O",1
denied,.,"



__",1
resa M,., Schle,0
ion Nr,:, 16327,0
n Date,:, 08/18,0
e Date,:, 08/26,0
KET NO,.,  12-2,0
 in St,., Peter,0
(PTSD),.,"


REP",1
ted by,:,	Josep,0
seph R,., Moore,0
"e, Esq",.,"


ATT",1
"ARD

C",.," Ryan,",0
r 1969,.," 

Thi",1
 in St,., Peter,0
lorida,.,"

The ",1
earing,.,  At t,1
tation,.,  In D,1
seph R,., Moore,0
 Moore,.,  In M,1
"16, Mr",., Moore,0
equest,.,  Beca,1
folder,.," 

In ",1
s file,.,  Howe,1
appeal,.,"  


F",1
ressor,.,"


CON",1
re met,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
